,Date,FA,FATransfer
0,2019-09-12,3.0,2.43
1,2019-09-17,3.0,2.43
2,2019-09-18,2.75,2.43
3,2019-09-26,2.9,2.43
4,2019-10-01,2.6,2.43
5,2019-10-03,2.61,2.43
6,2019-10-08,2.96,2.43
7,2019-10-10,3.17,2.43
8,2019-10-17,3.63,2.43
9,2019-10-22,3.42,2.43
10,2019-10-23,3.38,2.43
11,2019-10-29,3.36,2.43
12,2019-10-31,3.47,2.43
13,2019-11-05,3.43,2.43
14,2019-11-07,3.43,2.43
15,2019-11-12,3.43,2.43
16,2019-11-14,3.43,2.43
17,2019-11-19,3.39,2.43
18,2019-11-22,3.0,2.43
19,2019-11-26,3.0,2.54
20,2019-12-03,3.04,2.54
21,2019-12-05,3.03,2.54
22,2019-12-12,3.02,2.54
23,2019-12-13,3.04,2.54
24,2019-12-18,3.05,2.54
25,2019-12-19,3.04,2.54
26,2020-01-03,3.04,2.65
27,2020-01-06,3.06,2.65
28,2020-01-18,3.14,2.89
29,2020-01-24,3.14,2.89
30,2020-01-25,3.14,2.89
31,2020-01-29,3.14,2.89
32,2020-02-01,3.13,2.89
33,2020-02-05,3.13,2.89
34,2020-02-07,3.19,2.89
35,2020-02-14,3.16,2.89
36,2020-02-16,3.16,2.89
37,2020-02-19,3.15,2.89
38,2020-02-22,3.16,2.89
39,2020-03-08,3.21,2.89
40,2020-03-11,3.21,2.89
41,2020-03-13,3.21,2.89
42,2020-03-14,3.15,2.89
43,2020-03-17,3.15,2.89
44,2020-03-22,3.14,2.89
45,2020-03-24,3.17,2.89
46,2020-04-01,3.17,2.89
47,2020-04-04,3.16,2.89
48,2020-04-05,3.17,2.89
49,2020-04-11,3.22,2.89
50,2020-04-20,3.22,2.89
51,2020-04-27,3.23,2.89
52,2020-04-30,3.26,2.89
53,2020-05-01,3.34,2.89
54,2020-05-04,3.28,3.12
55,2020-05-11,3.29,3.12
56,2020-09-21,3.29,3.24
57,2020-10-02,3.29,3.24
58,2020-10-03,3.3,3.24
59,2020-10-09,3.3,3.24
60,2020-10-11,3.3,3.25
61,2020-10-12,3.29,3.25
62,2020-10-24,3.3,3.25
63,2020-10-31,3.3,3.25
64,2020-11-01,3.3,3.25
65,2020-11-16,3.3,3.25
66,2020-11-19,3.3,3.25
67,2020-11-25,3.3,3.25
68,2020-11-30,3.31,3.25
69,2020-12-21,3.31,3.25
70,2020-12-28,3.31,3.26
71,2020-12-30,3.31,3.26
