,Date,CS,CS Transfer
0,2019-09-12,3.0,2.54
1,2019-09-18,3.0,3.41
2,2019-09-19,2.67,3.77
3,2019-09-27,2.89,3.88
4,2019-10-04,3.0,3.85
5,2019-10-14,3.0,3.87
6,2019-10-17,3.0,3.8
7,2019-10-18,3.0,3.65
8,2019-10-25,3.0,3.41
9,2019-11-01,3.14,3.51
10,2019-11-05,3.08,3.51
11,2019-11-08,3.19,3.59
12,2019-11-15,3.17,3.47
13,2019-11-22,3.17,3.43
14,2019-11-23,3.14,3.44
15,2019-12-05,3.17,3.41
16,2019-12-06,3.24,3.36
17,2019-12-19,3.08,3.41
18,2020-01-06,3.06,3.45
19,2020-01-20,3.05,3.48
20,2020-01-24,3.05,3.43
21,2020-02-06,3.04,3.45
22,2020-02-11,3.11,3.4
23,2020-02-13,3.16,3.39
24,2020-02-14,3.15,3.34
25,2020-03-06,3.08,3.32
26,2020-03-07,3.18,3.31
27,2020-03-09,3.17,3.34
28,2020-03-21,3.17,3.33
29,2020-03-26,3.23,3.29
30,2020-03-27,3.23,3.27
31,2020-05-05,3.24,3.25
32,2020-05-08,3.22,3.23
33,2020-05-11,3.3,3.26
34,2020-10-04,3.31,3.25
35,2020-10-12,3.3,3.24
36,2020-10-30,3.3,3.24
37,2020-10-31,3.3,3.23
38,2020-11-26,3.31,3.21
39,2020-12-21,3.32,3.2
40,2021-03-18,3.32,3.23
